OK initWorld: 15005 WGSL bytes, 3 buffers
OK stepCamera: 17848 WGSL bytes, 3 buffers
OK selectPages: 16513 WGSL bytes, 4 buffers
OK schedulePages: 13930 WGSL bytes, 3 buffers
OK commitPages: 13334 WGSL bytes, 5 buffers
OK summarise: 13785 WGSL bytes, 4 buffers
OK generatePages: 42844 WGSL bytes, 4 buffers
OK sortPages: 17137 WGSL bytes, 4 buffers
OK buildBVH: 13610 WGSL bytes, 2 buffers
OK tracePrimary: 41836 WGSL bytes, 7 buffers
OK initNeural: 45605 WGSL bytes, 4 buffers
OK prepareMaterialBatch: 56239 WGSL bytes, 4 buffers
OK materialForward: 46351 WGSL bytes, 3 buffers
OK scoreMaterial: 47339 WGSL bytes, 3 buffers
OK materialGradient: 47360 WGSL bytes, 5 buffers
OK materialAdam: 46117 WGSL bytes, 6 buffers
OK shadePixels: 75480 WGSL bytes, 7 buffers
OK resolveFrame: 59210 WGSL bytes, 7 buffers
